"date","height"
2025-06-11 21:15:00,1.23
2025-06-11 21:30:00,1.23
2025-06-11 21:45:00,1.23
2025-06-11 22:00:00,1.23
2025-06-11 22:15:00,1.23
2025-06-11 22:30:00,1.23
2025-06-11 22:45:00,1.23
2025-06-11 23:00:00,1.23
2025-06-11 23:15:00,1.23
2025-06-11 23:30:00,1.23
2025-06-11 23:45:00,1.23
2025-06-12,1.23
2025-06-12 00:15:00,1.23
2025-06-12 00:30:00,1.23
2025-06-12 00:45:00,1.23
2025-06-12 01:00:00,1.23
2025-06-12 01:15:00,1.23
2025-06-12 01:30:00,1.23
2025-06-12 01:45:00,1.23
2025-06-12 02:00:00,1.22
2025-06-12 02:15:00,1.22
2025-06-12 02:30:00,1.22
2025-06-12 02:45:00,1.22
2025-06-12 03:00:00,1.22
2025-06-12 03:15:00,1.22
2025-06-12 03:30:00,1.22
2025-06-12 03:45:00,1.22
2025-06-12 04:00:00,1.22
2025-06-12 04:15:00,1.22
2025-06-12 04:30:00,1.22
2025-06-12 04:45:00,1.22
2025-06-12 05:00:00,1.22
2025-06-12 05:15:00,1.22
2025-06-12 05:30:00,1.22
2025-06-12 05:45:00,1.22
2025-06-12 06:00:00,1.22
2025-06-12 06:15:00,1.22
2025-06-12 06:30:00,1.21
2025-06-12 06:45:00,1.21
2025-06-12 07:00:00,1.21
2025-06-12 07:15:00,1.21
2025-06-12 07:30:00,1.21
2025-06-12 07:45:00,1.21
2025-06-12 08:00:00,1.22
2025-06-12 08:15:00,1.22
2025-06-12 08:30:00,1.22
2025-06-12 08:45:00,1.22
2025-06-12 09:00:00,1.22
2025-06-12 09:15:00,1.22
2025-06-12 09:30:00,1.22
2025-06-12 09:45:00,1.22
2025-06-12 10:00:00,1.22
2025-06-12 10:15:00,1.22
2025-06-12 10:30:00,1.22
2025-06-12 10:45:00,1.22
2025-06-12 11:00:00,1.22
2025-06-12 11:15:00,1.22
2025-06-12 11:30:00,1.21
2025-06-12 11:45:00,1.21
2025-06-12 12:00:00,1.21
2025-06-12 12:15:00,1.21
2025-06-12 12:30:00,1.21
2025-06-12 12:45:00,1.21
2025-06-12 13:00:00,1.21
2025-06-12 13:15:00,1.21
2025-06-12 13:30:00,1.21
2025-06-12 13:45:00,1.21
2025-06-12 14:00:00,1.21
2025-06-12 14:15:00,1.21
2025-06-12 14:30:00,1.21
2025-06-12 14:45:00,1.21
2025-06-12 15:00:00,1.21
2025-06-12 15:15:00,1.21
2025-06-12 15:30:00,1.21
2025-06-12 15:45:00,1.21
2025-06-12 16:00:00,1.21
2025-06-12 16:15:00,1.21
2025-06-12 16:30:00,1.21
2025-06-12 16:45:00,1.21
2025-06-12 17:00:00,1.21
2025-06-12 17:15:00,1.21
2025-06-12 17:30:00,1.21
2025-06-12 17:45:00,1.21
2025-06-12 18:00:00,1.21
2025-06-12 18:15:00,1.21
2025-06-12 18:30:00,1.21
2025-06-12 18:45:00,1.21
2025-06-12 19:00:00,1.22
2025-06-12 19:15:00,1.22
2025-06-12 19:30:00,1.22
2025-06-12 19:45:00,1.22
2025-06-12 20:00:00,1.22
2025-06-12 20:15:00,1.22
2025-06-12 20:30:00,1.22
2025-06-12 20:45:00,1.22
2025-06-12 21:00:00,1.22
2025-06-12 21:15:00,1.22
2025-06-12 21:30:00,1.22
2025-06-12 21:45:00,1.22
2025-06-12 22:00:00,1.22
2025-06-12 22:15:00,1.22
2025-06-12 22:30:00,1.22
2025-06-12 22:45:00,1.22
2025-06-12 23:00:00,1.22
2025-06-12 23:15:00,1.22
2025-06-12 23:30:00,1.22
2025-06-12 23:45:00,1.22
2025-06-13,1.22
2025-06-13 00:15:00,1.22
2025-06-13 00:30:00,1.22
2025-06-13 00:45:00,1.22
2025-06-13 01:00:00,1.22
2025-06-13 01:15:00,1.22
2025-06-13 01:30:00,1.22
2025-06-13 01:45:00,1.22
2025-06-13 02:00:00,1.22
2025-06-13 02:15:00,1.22
2025-06-13 02:30:00,1.22
2025-06-13 02:45:00,1.22
2025-06-13 03:00:00,1.22
2025-06-13 03:15:00,1.22
2025-06-13 03:30:00,1.22
2025-06-13 03:45:00,1.22
2025-06-13 04:00:00,1.22
2025-06-13 04:15:00,1.22
2025-06-13 04:30:00,1.22
2025-06-13 04:45:00,1.22
2025-06-13 05:00:00,1.22
